#,Date-Time (PST/PDT),Temperature   (°C),RH   (%),Dew Point   (°C),Started,Host Connected,End of File
154,03-08-2024 16:09:17,7.37,85.69,5.13,,,
155,03-08-2024 16:19:17,7.98,93.99,7.08,,,
156,03-08-2024 16:29:17,8.18,83.35,5.53,,,
157,03-08-2024 16:39:17,7.28,86.00,5.10,,,
158,03-08-2024 16:49:17,6.93,92.22,5.76,,,
159,03-08-2024 16:59:17,7.83,85.24,5.51,,,
160,03-08-2024 17:09:17,7.84,87.77,5.94,,,
161,03-08-2024 17:19:17,7.59,85.94,5.40,,,
162,03-08-2024 17:29:17,6.88,80.24,3.72,,,
163,03-08-2024 17:39:17,7.33,89.09,5.66,,,
164,03-08-2024 17:49:17,7.63,91.47,6.34,,,
165,03-08-2024 17:59:17,8.02,84.76,5.62,,,
166,03-08-2024 18:09:17,7.13,87.46,5.20,,,
167,03-08-2024 18:19:17,7.03,93.75,6.10,,,
168,03-08-2024 18:29:17,7.70,86.64,5.62,,,
169,03-08-2024 18:39:17,7.85,88.36,6.05,,,
170,03-08-2024 18:49:17,7.43,86.46,5.32,,,
171,03-08-2024 18:59:17,6.88,88.66,5.15,,,
172,03-08-2024 19:09:17,7.34,87.17,5.36,,,
173,03-08-2024 19:19:17,7.03,90.60,5.61,,,
174,03-08-2024 19:29:17,5.91,79.31,2.60,,,
175,03-08-2024 19:39:17,4.14,84.09,1.69,,,
176,03-08-2024 19:49:17,3.93,91.80,2.72,,,
177,03-08-2024 19:59:17,4.29,83.11,1.68,,,
178,03-08-2024 20:09:17,4.52,87.24,2.59,,,
179,03-08-2024 20:19:17,3.94,88.90,2.28,,,
180,03-08-2024 20:29:17,3.64,87.95,1.84,,,
181,03-08-2024 20:39:17,4.35,86.10,2.24,,,
182,03-08-2024 20:49:17,4.81,93.53,3.86,,,
183,03-08-2024 20:59:17,5.03,87.78,3.17,,,
184,03-08-2024 21:09:17,4.30,84.10,1.85,,,
185,03-08-2024 21:19:17,4.37,90.38,2.94,,,
186,03-08-2024 21:29:17,4.62,87.92,2.79,,,
187,03-08-2024 21:39:17,4.97,87.49,3.07,,,
188,03-08-2024 21:49:17,4.74,88.27,2.97,,,
189,03-08-2024 21:59:17,4.13,88.98,2.48,,,
190,03-08-2024 22:09:17,4.92,85.64,2.72,,,
191,03-08-2024 22:19:17,5.32,92.59,4.22,,,
192,03-08-2024 22:29:17,5.33,89.17,3.69,,,
193,03-08-2024 22:39:17,4.62,83.82,2.12,,,
194,03-08-2024 22:49:17,4.73,90.95,3.38,,,
195,03-08-2024 22:59:17,5.13,87.14,3.18,,,
196,03-08-2024 23:09:17,5.49,92.99,4.45,,,
197,03-08-2024 23:19:17,5.20,89.88,3.68,,,
198,03-08-2024 23:29:17,4.82,89.42,3.23,,,
199,03-08-2024 23:39:17,5.23,85.97,3.08,,,
200,03-08-2024 23:49:17,5.81,93.77,4.89,,,
201,03-08-2024 23:59:17,5.94,82.37,3.17,,,
202,03-09-2024 00:09:17,4.95,80.86,1.95,,,
203,03-09-2024 00:19:17,5.05,91.56,3.79,,,
204,03-09-2024 00:29:17,5.70,93.14,4.69,,,
205,03-09-2024 00:39:17,6.21,87.74,4.33,,,
206,03-09-2024 00:49:17,5.61,87.75,3.74,,,
207,03-09-2024 00:59:17,5.20,89.37,3.60,,,
208,03-09-2024 01:09:17,5.77,86.74,3.73,,,
209,03-09-2024 01:19:17,6.02,93.30,5.03,,,
210,03-09-2024 01:29:17,6.12,86.06,3.97,,,
211,03-09-2024 01:39:17,5.41,85.17,3.13,,,
212,03-09-2024 01:49:17,5.60,93.35,4.61,,,
213,03-09-2024 01:59:17,6.34,90.33,4.87,,,
214,03-09-2024 02:09:17,6.66,88.28,4.86,,,
215,03-09-2024 02:19:17,6.10,88.61,4.37,,,
216,03-09-2024 02:29:17,5.69,93.69,4.76,,,
217,03-09-2024 02:39:17,6.09,82.54,3.35,,,
218,03-09-2024 02:49:17,6.50,94.22,5.64,,,
219,03-09-2024 02:59:17,6.53,90.32,5.06,,,
220,03-09-2024 03:09:17,5.82,81.50,2.91,,,
221,03-09-2024 03:19:17,6.10,93.34,5.11,,,
222,03-09-2024 03:29:17,6.50,92.43,5.36,,,
223,03-09-2024 03:39:17,6.86,89.12,5.20,,,
224,03-09-2024 03:49:17,6.45,84.55,4.05,,,
225,03-09-2024 03:59:17,5.97,94.59,5.17,,,
226,03-09-2024 04:09:17,6.81,81.53,3.87,,,
227,03-09-2024 04:19:17,7.17,93.96,6.27,,,
228,03-09-2024 04:29:17,7.07,88.80,5.35,,,
229,03-09-2024 04:39:17,6.41,83.97,3.91,,,
230,03-09-2024 04:49:17,6.60,93.16,5.58,,,
231,03-09-2024 04:59:17,7.01,90.33,5.54,,,
232,03-09-2024 05:09:17,7.18,87.59,5.27,,,
233,03-09-2024 05:19:17,6.48,87.71,4.59,,,
234,03-09-2024 05:29:17,6.64,92.65,5.54,,,
235,03-09-2024 05:39:17,7.22,91.41,5.92,,,
236,03-09-2024 05:49:17,7.69,94.02,6.79,,,
237,03-09-2024 05:59:17,7.40,88.52,5.63,,,
238,03-09-2024 06:09:17,6.42,84.78,4.05,,,
239,03-09-2024 06:19:17,6.93,91.98,5.72,,,
240,03-09-2024 06:29:17,7.38,92.09,6.18,,,
241,03-09-2024 06:39:17,7.74,87.77,5.85,,,
242,03-09-2024 06:49:17,7.11,88.12,5.28,,,
243,03-09-2024 06:59:17,7.08,93.13,6.05,,,
244,03-09-2024 07:09:17,7.83,84.33,5.36,,,
245,03-09-2024 07:19:17,8.03,85.30,5.72,,,
246,03-09-2024 07:29:17,7.69,88.07,5.85,,,
247,03-09-2024 07:39:17,7.14,78.78,3.71,,,
248,03-09-2024 07:49:17,7.41,85.92,5.21,,,
249,03-09-2024 07:59:17,7.73,92.86,6.66,,,
250,03-09-2024 08:09:17,8.20,82.28,5.37,,,
251,03-09-2024 08:19:17,7.35,81.98,4.49,,,
252,03-09-2024 08:29:17,7.22,90.12,5.71,,,
253,03-09-2024 08:39:17,7.92,75.51,3.87,,,
254,03-09-2024 08:49:17,7.81,86.18,5.65,,,
255,03-09-2024 08:59:17,7.56,84.04,5.04,,,
256,03-09-2024 09:09:17,7.20,76.71,3.40,,,
257,03-09-2024 09:19:17,7.34,84.14,4.85,,,
258,03-09-2024 09:29:17,7.97,92.64,6.85,,,
259,03-09-2024 09:39:17,8.06,80.58,4.93,,,
260,03-09-2024 09:49:17,7.20,82.87,4.50,,,
261,03-09-2024 09:59:17,7.22,91.20,5.88,,,
262,03-09-2024 10:09:17,7.90,77.57,4.23,,,
263,03-09-2024 10:19:17,7.88,90.92,6.50,,,
264,03-09-2024 10:29:17,7.75,83.69,5.17,,,
265,03-09-2024 10:39:17,6.72,76.90,2.96,,,
266,03-09-2024 10:49:17,7.76,86.60,5.68,,,
267,03-09-2024 10:59:17,7.84,92.08,6.64,,,
268,03-09-2024 11:09:17,7.88,80.87,4.81,,,
269,03-09-2024 11:19:17,7.14,88.42,5.36,,,
270,03-09-2024 11:29:17,7.26,87.81,5.38,,,
271,03-09-2024 11:39:17,7.67,81.38,4.69,,,
272,03-09-2024 11:49:17,8.17,83.16,5.49,,,
273,03-09-2024 11:59:17,7.62,84.68,5.22,,,
274,03-09-2024 12:09:17,7.01,77.62,3.38,,,
275,03-09-2024 12:19:17,7.44,89.16,5.78,,,
276,03-09-2024 12:29:17,7.91,93.23,6.89,,,
277,03-09-2024 12:39:17,7.78,83.57,5.18,,,
278,03-09-2024 12:49:17,7.10,83.92,4.57,,,
279,03-09-2024 12:59:17,7.26,93.09,6.22,,,
280,03-09-2024 13:09:17,7.52,81.97,4.64,,,
281,03-09-2024 13:19:17,7.97,89.15,6.30,,,
282,03-09-2024 13:29:17,7.58,85.01,5.23,,,
283,03-09-2024 13:39:17,6.88,82.75,4.16,,,
284,03-09-2024 13:49:17,7.23,85.62,4.99,,,
285,03-09-2024 13:59:17,7.85,93.50,6.87,,,
286,03-09-2024 14:09:17,7.74,75.73,3.74,,,
287,03-09-2024 14:19:17,7.09,93.23,6.07,,,
288,03-09-2024 14:29:17,7.07,89.13,5.40,,,
289,03-09-2024 14:39:17,6.97,79.29,3.64,,,
290,03-09-2024 14:49:17,7.26,86.22,5.12,,,
291,03-09-2024 14:59:17,7.78,92.70,6.68,,,
292,03-09-2024 15:09:17,7.92,88.11,6.08,,,
293,03-09-2024 15:19:17,7.18,87.39,5.24,,,
294,03-09-2024 15:29:17,7.09,91.59,5.82,,,
295,03-09-2024 15:39:17,7.69,83.33,5.05,,,
296,03-09-2024 15:49:17,7.86,91.91,6.63,,,
297,03-09-2024 15:59:17,7.50,88.49,5.73,,,
298,03-09-2024 16:09:17,6.82,78.43,3.34,,,
299,03-09-2024 16:19:17,7.16,85.65,4.93,,,
300,03-09-2024 16:29:17,7.75,93.04,6.70,,,
301,03-09-2024 16:39:17,7.96,83.08,5.27,,,
302,03-09-2024 16:49:17,7.02,85.88,4.83,,,
303,03-09-2024 16:59:17,6.99,92.68,5.89,,,
304,03-09-2024 17:09:17,7.45,83.71,4.88,,,
305,03-09-2024 17:19:17,8.03,91.00,6.66,,,
306,03-09-2024 17:29:17,7.55,88.68,5.81,,,
307,03-09-2024 17:39:17,6.86,79.80,3.62,,,
308,03-09-2024 17:49:17,7.33,89.56,5.74,,,
309,03-09-2024 17:59:17,7.81,94.59,7.00,,,
310,03-09-2024 18:09:17,7.83,85.65,5.58,,,
311,03-09-2024 18:19:17,7.22,85.63,4.98,,,
312,03-09-2024 18:29:17,7.02,91.57,5.75,,,
313,03-09-2024 18:39:17,7.58,86.36,5.46,,,
314,03-09-2024 18:49:17,7.61,88.54,5.85,,,
315,03-09-2024 18:59:17,7.35,87.88,5.49,,,
316,03-09-2024 19:09:17,6.86,85.60,4.62,,,
317,03-09-2024 19:19:17,6.58,87.30,4.63,,,
318,03-09-2024 19:29:17,5.85,91.83,4.63,,,
319,03-09-2024 19:39:17,4.93,83.40,2.36,,,
320,03-09-2024 19:49:17,3.60,84.19,1.18,,,
321,03-09-2024 19:59:17,4.06,93.53,3.11,,,
322,03-09-2024 20:09:17,4.42,82.13,1.64,,,
323,03-09-2024 20:19:17,4.66,91.45,3.39,,,
324,03-09-2024 20:29:17,4.29,89.64,2.74,,,
325,03-09-2024 20:39:17,3.72,82.78,1.07,,,
326,03-09-2024 20:49:17,4.36,88.72,2.67,,,
327,03-09-2024 20:59:17,4.57,93.52,3.61,,,
328,03-09-2024 21:09:17,4.91,87.81,3.06,,,
329,03-09-2024 21:19:17,4.26,85.00,1.96,,,
330,03-09-2024 21:29:17,4.56,92.99,3.52,,,
331,03-09-2024 21:39:17,4.71,85.31,2.46,,,
332,03-09-2024 21:49:17,5.23,87.72,3.36,,,
333,03-09-2024 21:59:17,4.68,90.93,3.33,,,
334,03-09-2024 22:09:17,4.30,87.11,2.35,,,
335,03-09-2024 22:19:17,4.82,87.51,2.93,,,
336,03-09-2024 22:29:17,5.37,94.77,4.60,,,
337,03-09-2024 22:39:17,5.53,89.87,4.01,,,
338,03-09-2024 22:49:17,4.56,83.60,2.02,,,
339,03-09-2024 22:59:17,4.98,94.28,4.15,,,
340,03-09-2024 23:09:17,5.41,87.31,3.48,,,
341,03-09-2024 23:19:17,5.81,90.11,4.32,,,
342,03-09-2024 23:29:17,5.17,89.58,3.60,,,
343,03-09-2024 23:39:17,4.44,90.17,2.97,,,
344,03-09-2024 23:49:17,5.34,87.13,3.38,,,
345,03-09-2024 23:59:17,5.63,91.89,4.42,,,
346,03-10-2024 00:09:17,5.96,90.17,4.48,,,
347,03-10-2024 00:19:17,5.05,81.36,2.13,,,
348,03-10-2024 00:29:17,5.39,89.36,3.79,,,
349,03-10-2024 00:39:17,5.52,91.81,4.30,,,
350,03-10-2024 00:49:17,6.24,88.45,4.48,,,
351,03-10-2024 00:59:17,5.61,90.12,4.12,,,
352,03-10-2024 01:09:17,5.05,90.79,3.67,,,
353,03-10-2024 01:19:17,5.93,88.09,4.11,,,
354,03-10-2024 01:29:17,6.09,92.80,5.02,,,
355,03-10-2024 01:39:17,6.39,88.80,4.68,,,
356,03-10-2024 01:49:17,5.70,85.87,3.53,,,
357,03-10-2024 01:59:17,5.62,94.60,4.82,,,
358,03-10-2024 03:09:17,6.23,89.15,4.58,,,
359,03-10-2024 03:19:17,6.44,87.60,4.54,,,
360,03-10-2024 03:29:17,6.00,92.99,4.96,,,
361,03-10-2024 03:39:17,5.76,93.72,4.83,,,
362,03-10-2024 03:49:17,6.19,87.23,4.23,,,
363,03-10-2024 03:59:17,6.88,94.87,6.12,,,
364,03-10-2024 04:09:17,6.84,82.23,4.03,,,
365,03-10-2024 04:19:17,5.74,81.03,2.74,,,
366,03-10-2024 04:29:17,6.14,93.97,5.25,,,
367,03-10-2024 04:39:17,6.49,90.55,5.06,,,
368,03-10-2024 04:49:17,7.05,91.96,5.84,,,
369,03-10-2024 04:59:17,6.25,88.71,4.53,,,
370,03-10-2024 05:09:17,6.16,93.21,5.16,,,
371,03-10-2024 05:19:17,6.87,86.92,4.85,,,
372,03-10-2024 05:29:17,6.85,92.58,5.74,,,
373,03-10-2024 05:39:17,6.93,88.68,5.19,,,
374,03-10-2024 05:49:17,6.25,84.93,3.91,,,
375,03-10-2024 05:59:17,6.56,91.93,5.35,,,
376,03-10-2024 06:09:17,6.99,91.34,5.68,,,
377,03-10-2024 06:19:17,7.33,88.57,5.58,,,
378,03-10-2024 06:29:17,6.70,88.42,4.93,,,
379,03-10-2024 06:39:17,6.60,93.50,5.64,,,
380,03-10-2024 06:49:17,7.34,86.43,5.24,,,
381,03-10-2024 06:59:17,7.31,92.37,6.16,,,
382,03-10-2024 07:09:17,7.37,88.96,5.67,,,
383,03-10-2024 07:19:17,6.65,84.98,4.31,,,
384,03-10-2024 07:29:17,7.17,92.60,6.06,,,
385,03-10-2024 07:39:17,7.50,90.89,6.12,,,
386,03-10-2024 07:49:17,7.91,94.31,7.06,,,
387,03-10-2024 07:59:17,7.32,86.11,5.16,,,
388,03-10-2024 08:09:17,7.27,95.12,6.55,,,
389,03-10-2024 08:19:17,7.86,79.19,4.49,,,
390,03-10-2024 08:29:17,7.87,91.07,6.51,,,
391,03-10-2024 08:39:17,7.76,87.16,5.77,,,
392,03-10-2024 08:49:17,6.90,79.31,3.58,,,
393,03-10-2024 08:59:17,7.33,87.67,5.43,,,
394,03-10-2024 09:09:17,7.91,94.00,7.01,,,
395,03-10-2024 09:19:17,8.24,84.06,5.72,,,
396,03-10-2024 09:29:17,7.29,81.09,4.27,,,
397,03-10-2024 09:39:17,7.27,92.29,6.11,,,
398,03-10-2024 09:49:17,7.76,79.96,4.53,,,
399,03-10-2024 09:59:17,7.98,89.15,6.31,,,
400,03-10-2024 10:09:17,7.79,84.23,5.31,,,
401,03-10-2024 10:19:17,6.85,75.63,2.85,,,
402,03-10-2024 10:29:17,7.55,88.98,5.86,,,
403,03-10-2024 10:39:17,7.74,91.81,6.50,,,
404,03-10-2024 10:49:17,8.06,82.74,5.31,,,
405,03-10-2024 10:59:17,7.15,82.55,4.39,,,
406,03-10-2024 11:09:17,6.99,90.71,5.58,,,
407,03-10-2024 11:19:17,7.62,82.51,4.84,,,
408,03-10-2024 11:29:17,8.00,88.66,6.25,,,
409,03-10-2024 11:39:17,7.75,85.00,5.40,,,
410,03-10-2024 11:49:17,6.93,80.19,3.76,,,
411,03-10-2024 11:59:17,7.47,88.04,5.63,,,
412,03-10-2024 12:09:17,7.89,93.92,6.98,,,
413,03-10-2024 12:19:17,8.17,85.57,5.90,,,
414,03-10-2024 12:29:17,7.19,85.62,4.95,,,
415,03-10-2024 12:39:17,7.23,93.66,6.28,,,
416,03-10-2024 12:49:17,7.71,80.10,4.50,,,
417,03-10-2024 12:59:17,7.88,88.46,6.10,,,
418,03-10-2024 13:09:17,7.62,83.80,5.07,,,
419,03-10-2024 13:19:17,6.91,78.85,3.51,,,
420,03-10-2024 13:29:17,7.44,87.42,5.49,,,
421,03-10-2024 13:39:17,7.59,90.33,6.12,,,
422,03-10-2024 13:49:17,8.16,86.03,5.97,,,
423,03-10-2024 13:59:17,7.30,85.45,5.03,,,
424,03-10-2024 14:09:17,7.24,92.68,6.14,,,
425,03-10-2024 14:19:17,7.64,78.36,4.13,,,
426,03-10-2024 14:29:17,7.87,89.00,6.18,,,
427,03-10-2024 14:39:17,7.44,85.27,5.14,,,
428,03-10-2024 14:49:17,6.72,80.38,3.59,,,
429,03-10-2024 14:59:17,7.61,90.45,6.16,,,
430,03-10-2024 15:09:17,7.98,94.61,7.17,,,
431,03-10-2024 15:19:17,7.96,82.53,5.17,,,
432,03-10-2024 15:29:17,7.25,84.72,4.85,,,
433,03-10-2024 15:39:17,7.22,93.34,6.22,,,
434,03-10-2024 15:49:17,7.86,82.00,4.98,,,
435,03-10-2024 15:59:17,7.64,86.59,5.56,,,
436,03-10-2024 16:09:17,7.37,84.42,4.92,,,
437,03-10-2024 16:19:17,6.80,86.31,4.68,,,
438,03-10-2024 16:29:17,7.39,87.05,5.38,,,
439,03-10-2024 16:39:17,7.59,91.32,6.27,,,
440,03-10-2024 16:49:17,8.35,88.37,6.55,,,
441,03-10-2024 16:59:17,7.32,86.31,5.19,,,
442,03-10-2024 17:09:17,7.12,93.35,6.12,,,
443,03-10-2024 17:19:17,7.69,84.85,5.31,,,
444,03-10-2024 17:29:17,7.92,90.41,6.46,,,
445,03-10-2024 17:39:17,7.18,86.85,5.15,,,
446,03-10-2024 17:49:17,6.99,88.05,5.15,,,
447,03-10-2024 17:59:17,7.43,92.75,6.34,,,
448,03-10-2024 18:09:17,7.78,92.57,6.66,,,
449,03-10-2024 18:19:17,7.79,91.31,6.47,,,
450,03-10-2024 18:29:17,7.17,86.66,5.11,,,
451,03-10-2024 18:39:17,7.16,92.63,6.06,,,
452,03-10-2024 18:49:17,7.52,88.75,5.79,,,
453,03-10-2024 18:59:17,7.90,88.35,6.10,,,
454,03-10-2024 19:09:17,7.26,84.57,4.84,,,
455,03-10-2024 19:19:17,6.65,89.34,5.02,,,
456,03-10-2024 19:29:17,7.45,88.14,5.62,,,
457,03-10-2024 19:39:17,7.62,92.75,6.53,,,
458,03-10-2024 19:49:17,7.88,88.97,6.18,,,
459,03-10-2024 19:59:17,7.16,85.17,4.85,,,
460,03-10-2024 20:09:17,7.26,90.55,5.82,,,
461,03-10-2024 20:19:17,6.64,85.07,4.31,,,
462,03-10-2024 20:29:17,5.77,84.41,3.35,,,
463,03-10-2024 20:39:17,4.42,85.83,2.26,,,
